id,tomato_score,review_text
1,positive,"Ghostly dissolves capture them turning into mere echoes of themselves. Aronofsky speeds up time and draws it out agonisingly, evoking the rush of the high and then its crushing absence."
2,positive,"When you see as many films as I do, you often have preconceptions...Then out of nowhere, something comes along that reinvigorates your passion as both a viewer and a critic. This is my drug...This is Requiem For A Dream."
3,positive,"It may be too much for some viewers to take, but no one ever said addiction is pretty. And Aronofsky earns every right to his excesses by making sure audiences feel the loss of humanity instead of treating them like spectators at a freak show."
4,positive,"Clearly influenced by the cut-and-paste of hip-hop, Requiem stokes and builds its tragic momentum like an expertly mixed dance cut, the kind that catches you so seductively in its rhythms you'll follow it anywhere..."
5,positive,"As a story, this long, bleak descent into consumer hell doesn't sound like it would be much fun to watch as a movie. But there is something undeniably engrossing about Requiem for a Dream and it's a direct result of Darren Aronofsky's direction."
6,positive,"""Requiem for a Dream"" is a brave work, and one that demands a brave audience...it's a film that makes us look at a plague of modern life with new eyes..."
7,positive,"As off-putting as this relentlessly bleak journey is, Requiem for a Dream is such a jolting, in-your-face and stylishly visualized odyssey it dares you to take your eyes off the screen."
8,positive,"For sure, Requiem for a Dream is depressing and sordid. It is also one of the best-acted and most creative films of the year."
9,positive,"Yes, it's a brilliant film. No, it's not for the conventional Christmastime crowd. But if you thought ""Trainspotting"" went too easy on its addicts, you might find this relentless nightmare more to your liking."
10,positive,"...Requiem For A Dream is so efficiently devastating that it resonates like the echo of a dying scream. Beautifully executed, but spine-jarringly uncomfortable stuff."
11,negative,The fidgety style that can energize a fairly lively debut cheapie doesn't work very well with a cast of familiar faces. It detracts from a movie whose historically capable and seemingly well-cast actors might have carried the show by themselves...
12,positive,...Requiem is harrowing and memorable. Its themes of dependence in all its forms are delivered subtlety while the visual imagery knocks you for six.
13,negative,"...Requiem For A Dream alternates between the distorted perceptions of several of its characters, while tightly controlling its overall form...This style is often punchy and inventive, though the basic ideas remain pretentious and dumb."
14,negative,"...director Darren Aronofsky's second film ends up with the usual descent into junkie hell - only one told from the smug, safe vantage point of a filmmaker sweating it out in an editing room."
15,positive,"Craftwork is aces across the board, with a sound mix that’s particularly dense."
16,positive,"Requiem for a Dream is masterfully repellent, making shocked viewers recoil while simultaneously daring us not to look."
