id,tomato_score,review_text
1,positive,"It is profoundly unique and endlessly thought-provoking to say the least.  I don't think I've ever seen a film take such a strange initial vibe and turn it into something completely approachable, relatable, and significant."
2,positive,The world that Spike Jonze brings us is absolutely incredible.
3,positive,"…a delicate, rather melancholy film, one that relates to a time when communication is everywhere, but the users of the technology feel more alone than ever…"
4,positive,"The true worth of Her will be realized when the idea that it is based upon is ultimately achieved. Whenever that happens in the future, people are going to look back at Her in disbelieved awe for foreseeing the future with such disarming precision."
5,positive,"Her is a film that has something to say about evolving relationships in the modern world through a unique relationship between a man and his phone, resulting in a beautiful masterpiece of a film."
6,positive,"One of the more profound films ever made about loneliness, Spike Jonze's beautiful film has Scarlett Johansson's best performance in a narrative that reinvigorates the need for not just communication but the privilege of listening."
7,positive,"Computers, like the operating systems in Her, already invoke a never-ending, addictive relationship. I hate it but can’t turn away."
8,positive,"... Jonze is narratively playful and challenging, but his interest as a filmmaker is in the human experience: unresolved emotions, emotional pain, longing, disappointment, and the need for love and affirmation"
9,positive,Jonze's future is both vividly-realized and always rooted in the complexities of the human heart.
10,positive,One of the most interesting dystopic visions of cinema. [Full review in Spanish]
11,positive,"For my money, the award-winning performance delivered in Her came from Joaquin Phoenix..."
12,positive,The film mixes raw emotion with colorful art to create a world and characters unlike any other.
13,positive,“Her” incorporates a familiar science-fiction concept into what is more or less a love story and relational study.
14,positive,"At once provocative and fragile, Jonze’s many-layered film leaves us with much to consider about how we love and whom we choose to love, and it leaves us reeling with pleasure over the amazing film he’s made."
15,positive,"Few films have managed to capture all of the nuance and the hypocrisy of a breakup, much less the agonizing process of putting yourself back together."
16,positive,"A beautiful film that explores the relationship between humans and technology, and the fine line that pulls at each side. Spike Jonze delivers a profound exploration on the evolution of love and oneself. Full review in Spanish"
17,positive,Maybe love can take many forms. And maybe tech can ultimately just be a tool when put into perspective; maybe it can help us positively evolve as humans. Exploring our still-in-progress relationship with it at least makes for one helluva film...
18,positive,"With Her, Jonze also proves himself to be a very acute observer of the hypersensitive generation that was raised on the computer."
19,negative,"Anyway, if Jonze's concern is presumably with humanity's future and fate, Samantha is largely a diversion, a gimmick."
20,positive,"An oddball story, but it's not an oddball film. It is ripe with real human emotion and commentary on a generation's reliance on technology at the cost of social interaction."
21,positive,"Spike Jonze has a brilliant eye for style and inventiveness, taking on a conventional quasi-futuristic narrative and giving it a heart and a philosophical message."
22,negative,"Had Samantha taken a downward spiraling turn toward the HAL 9000 spectrum of robots, this movie could have been exciting."
23,positive,"Tender, soulful, and thought provoking, Spike Jonze's film uses its bizarre sci-fi scenario to both comment on the modern reliance on technology as well as impart wisdom about the state of human relationships."
24,positive,I wasn't blown away by Her. I was enveloped by it.
25,positive,"A sweet, delicate story, that can be emotionally pummeling while never losing its fundamental optimism."
26,positive,An unconventional way of telling an age-old story that works so well that you forget about its unconventionality as its humanity washes over you.
27,positive,It is a romantic drama bordering on the eccentric and is not afraid to show the psychological depth of human relationships. [Full review in Spanish]
28,positive,"...the film excels in its terrific execution and intriguing framework; and despite the technological trappings and high concept, HER is filled with humanity."
29,positive,"Her has the most richly genuine denouement, a sincere sense of awakening where a stunted character recognizes his potential."
30,positive,"Overall, Her is a beautiful film - wonderful acting, great story and dreamy soundtrack. Miss it and you'll miss out."
31,positive,Her wasn't as fantastically profound emotionally as the similarly toned Eternal Sunshine of the Spotless Mind. It lopes a bit in the middle when you want it to run.
32,positive,One of the most deeply felt and profoundly wise love stories to come along in a long time.
33,positive,"The story of a man falling in love with his computer is an absurd sitcom-ready premise, but through Spike Jonze's vision it's looked at in a disarming and surprisingly sincere light."
34,positive,The first rush of new love feels as real and euphoric as any traditional relationship and slowly sours into disaffection and jealousy with just as much familiarity.
35,positive,Her is an intelligent and beautiful achievement in science fictional romance; a film about human fragility and the strangest aspirations of platonic love. [Full review in Spanish]
36,positive,"There are so many rich nuances in this film that I could mull over and contemplate with, it's definitely one of those films that I'd like to watch more than once just to absorb it all again."
37,positive,"Beginning life as a quirky rom-com before turning into something far greater and more profound, Jonze's Her puts forward a convincing and compelling defense of technology's growing dominion over our everyday lives."
38,positive,A bizarre little concoction that proves to be rather sweet and charming.
39,positive,The film isn't for everyone... But it offers a beautiful and savvy look at relationships worth checking out.
40,positive,"Bizarre and the beautiful, it works."
41,positive,"Her is essentially a one-hander (because Samantha has no hands) about love and relationships and what it all means. Which is fine, because even the Jonze films that miss (Where the Wild Things Are) are still nice to watch."
42,negative,I found the movie tedious and un-engaging.
43,positive,"By the end of it all, I left with a mixture of emotions in my head but one thought stuck firmly in mine was 'that was beautiful'."
44,positive,This may be the first true romance for the computer age.
45,positive,"If Jonze occasionally misses a beat... and he presses the too-sweet soundtrack on us in every scene - by the end, Her's sympathy is for everyone."
46,positive,"Surprisingly romantic and moving, Spike Jonze's ""Her"" is also utterly frightening and sad."
47,positive,"This film takes a look at love in the future in a funny, intelligent and non melodramatic way."
48,positive,The film's great achievement is in making the computer-human love affair seem natural and in realistically charting the movement from dependence on technology to full-blown emotional attachment.
49,positive,"There are times when Her feels like genius, and times when it feels like one long and painful call to a call centre, because that's exactly what it is."
50,positive,"... its ending does show the challenge of finding a conclusion to such an oddball story, and the results are only partly satisfying. Still, as he did in 1999, Jonze has his finger on the zeitgeist."
